release_year,cleaned_lyrics
1974,That
1974,love
1974,game
1974,?
1974,It
1974,hit
1974,miss
1974,So
1974,aim
1974,Got
1974,hold
1974,tight
1974,Shoot
1974,sight
1974,fill
1974,With
1974,Your
1974,gun
1974,loaded
1974,And
1974,pointing
1974,There
1974,bullet
1974,delay
1974,time
1974,Fire
1974,night
1974,You
1974,Come
1974,shot
1974,higher
1974,Please
1974,4Embed
1974,Bring
1974,Back
1974,That
1974,Leroy
1974,Brown
1974,back
1974,","
1974,bring
1974,Got
1974,Bet
1974,bottom
1974,dollar
1974,bill
1974,You
1974,`
1974,playboy
1974,Daddy
1974,cool
1974,ninety
1974,smile
1974,Took
1974,money
1974,gratitude
1974,And
1974,town
1974,I
1974,getty
1974,Steady
1974,shoot
1974,hit
1974,latitude
1974,Big
1974,He
1974,common
1974,brains
1974,But
1974,lot
1974,style
1974,Can
1974,stand
1974,jail
1974,rid
1974,sentence
1974,heat
1974,Step
1974,shade
1974,Dead
1974,alive
1974,mama
1974,Lulu
1974,Belle
1974,She
1974,nervous
1974,breakdown
1974,honey
1974,Chile
1974,away
1974,At
1974,station
1974,Put
1974,shotgun
1974,head
1974,mistaken
1974,This
1974,``
1974,big
1974,boy
1974,cutie
1974,pie
1974,''
1974,caused
1974,mighty
1974,Fine
1974,sensation
1974,Gone
1974,elected
1974,President
1974,Next
1974,time
1974,Hit
1974,bitty
1974,baddy
1974,weather
1974,shimmy
1974,shammy
1974,leather
1974,Want
1974,back6Embed
1974,She
1974,Makes
1974,Me
1974,I
1974,love
1974,","
1974,makes
1974,heart
1974,`
1974,jealous
1974,Who
1974,make
1974,As
1974,lie
1974,cocoon
1974,But
1974,world
1974,surely
1974,heal
1974,ills
1974,warm
1974,terrified
1974,day
1974,leave
1974,dreams
1974,follow
1974,grow
1974,How
1974,long
1974,And
1974,slow
1974,You
1974,4Embed
1974,In
1974,Lap
1974,Gods
1974,...
1974,Revisited
1974,It
1974,`
1974,easy
1974,","
1974,I
1974,So
1974,risky
1974,chance
1974,funny
1974,laugh
1974,My
1974,money
1974,wa
1974,talk
1974,But
1974,fool
1974,gods
1974,Whoa
1974,whoa
1974,la-la-la
1974,No
1974,beginning
1974,ending
1974,There
1974,meaning
1974,pretending
1974,Believe
1974,life
1974,Forgive
1974,``
1974,Where
1974,belong
1974,?
1974,''
1974,You
1974,Set
1974,free
1974,la-la
1974,ooh
1974,ooh3Embed
1975,Death
1975,Two
1975,Legs
1975,You
1975,suck
1975,blood
1975,leech
1975,break
1975,law
1975,breach
1975,Screw
1975,brain
1975,hurts
1975,`
1975,money
1975,Misguided
1975,mule
1975,With
1975,pigheaded
1975,rules
1975,narrow-minded
1975,cronies
1975,Who
1975,fools
1975,division
1975,legs
1975,tearing
1975,heart
1975,Killjoy
1975,","
1975,guy
1975,Big
1975,talking
1975,small
1975,fry
1975,barrow
1975,boy
1975,Have
1975,found
1975,toy
1975,replace
1975,?
1975,Can
1975,But
1975,kiss
1975,ass
1975,goodbye
1975,Feel
1975,Are
1975,satisfied
1975,Do
1975,feel
1975,suicide
1975,Is
1975,conscience
1975,Does
1975,plague
1975,night
1975,Talk
1975,big
1975,business
1975,tycoon
1975,hot
1975,air
1975,balloon
1975,So
1975,damn
1975,overgrown
1975,schoolboy
1975,Let
1975,hide
1975,Dog
1975,disease
1975,king
1975,sleaze
1975,Put
1975,mouth
1975,Mr.
1975,Know-All
1975,fin
1975,back
1975,part
1975,deal
1975,Shark
1975,!
1975,Tearing
1975,Of
1975,Insane
1975,put
1975,inside
1975,sewer
1975,rat
1975,decaying
1975,cesspool
1975,pride
1975,Should
1975,made
1975,unemployed
1975,Make
1975,null
1975,void
1975,27Embed
1975,Lazing
1975,Sunday
1975,Afternoon
1975,I
1975,work
1975,Monday
1975,morning
1975,Tuesday
1975,","
1975,honeymoon
1975,`
1975,back
1975,time
1975,sunny-down
1975,lazing
1975,afternoon
1975,Bicycling
1975,Wednesday
1975,evening
1975,Thursday
1975,waltzing
1975,Zoo
1975,London
1975,town
1975,ordinary
1975,guy
1975,Fridays
1975,painting
1975,Louvre
1975,bound
1975,proposing
1975,Saturday
1975,night
1975,You
1975,like4Embed
1975,I
1975,’
1975,Love
1975,My
1975,Car
1975,The
1975,machine
1975,dream
1975,Such
1975,clean
1975,With
1975,pistons
1975,a-pumping
1975,And
1975,hubcaps
1975,gleam
1975,When
1975,`
1975,holding
1975,wheel
1975,All
1975,hear
1975,gear
1975,hand
1975,grease
1975,gun
1975,Oh
1975,","
1975,disease
1975,love
1975,car
1975,Got
1975,feel
1975,automobile
1975,Get
1975,grip
1975,boy
1975,racer
1975,roll
1975,bar
1975,thrill
1975,radials
1975,squeal
1975,Told
1975,girl
1975,forget
1975,Rather
1975,buy
1975,carburetor
1975,So
1975,made
1975,tracks
1975,Saying
1975,``
1975,This
1975,Cars
1975,talk
1975,back
1975,They
1975,four-wheeled
1975,friends
1975,''
1975,You
1975,cruising
1975,overdrive
1975,Don
1975,listen
1975,To
1975,run-of-the-mill
1975,jive
1975,String
1975,gloves
1975,In
1975,automolove
1975,5Embed
1975,You
1975,’
1975,My
1975,Best
1975,Friend
1975,Ooh
1975,","
1975,make
1975,live
1975,Whatever
1975,world
1975,give
1975,It
1975,`
1975,I
1975,honey
1975,Oh
1975,friend
1975,Been
1975,long
1975,time
1975,sunshine
1975,And
1975,That
1975,feelings
1975,love
1975,wandering
1975,round
1975,But
1975,back
1975,In
1975,rain
1975,shine
1975,stood
1975,girl
1975,happy
1975,home
1975,Whenever
1975,cruel
1975,forgive
1975,When
1975,things
1975,turn
1975,lonely
1975,ooh
1975,friend25Embed
1975,’
1975,39
1975,In
1975,year
1975,`
1975,assembled
1975,","
1975,Volunteers
1975,days
1975,lands
1975,Here
1975,ship
1975,sailed
1975,blue
1975,sunny
1975,morn
1975,Sweetest
1975,sight
1975,And
1975,night
1975,day
1975,storytellers
1975,That
1975,score
1975,brave
1975,souls
1975,inside
1975,For
1975,lonely
1975,Sailed
1975,milky
1975,Never
1975,looked
1975,back
1975,feared
1975,cried
1975,Don
1975,hear
1975,call
1975,?
1975,Though
1975,years
1975,away
1975,calling
1975,Write
1975,letters
1975,sand
1975,I
1975,hand
1975,land
1975,grandchildren
1975,knew
1975,Came
1975,The
1975,home
1975,bring
1975,news
1975,Of
1975,world
1975,newly
1975,born
1975,hearts
1975,heavily
1975,weight
1975,Earth
1975,grey
1975,Little
1975,darling
1975,love
1975,older
1975,Your
1975,mother
1975,eyes
1975,cry
1975,You
1975,All
1975,Can
1975,heal
1975,life
1975,ahead
1975,pity
1975,me20Embed
1975,Sweet
1975,Lady
1975,Ooh
1975,","
1975,I
1975,You
1975,call
1975,treat
1975,tear
1975,inside
1975,`
1975,lead
1975,bring
1975,shout
1975,believe
1975,lady
1975,stay
1975,sweet
1975,feed
1975,lines
1975,kind
1975,cheese
1975,Waiting
1975,shelf
1975,eat
1975,hold
1975,fool
1975,make
1975,home
1975,Stay
1975,My
1975,Though
1975,wait
1975,forever
1975,baby
1975,Believe
1975,Oh
1975,runaway
1975,Come
1975,Yeah
1975,Woo
1975,!
1975,4Embed
1975,Seaside
1975,Rendezvous
1975,","
1975,stroll
1975,I
1975,`
1975,contemplating
1975,feel
1975,inside
1975,Meanwhile
1975,Clementine
1975,You
1975,love
1975,madly
1975,Let
1975,imagination
1975,run
1975,away
1975,gladly
1975,A
1975,brand
1975,angle
1975,highly
1975,commendable
1975,rendezvous
1975,romantic
1975,?
1975,Can
1975,Fantastic
1975,vie
1975,mesdames
1975,messieurs
1975,And
1975,peak
1975,season
1975,The
1975,Mediterranean
1975,This
1975,time
1975,year
1975,fashionable
1975,dancing
1975,rain
1975,volunteer
1975,What
1975,damn
1975,jolly
1975,idea
1975,It
1975,jollification
1975,matter
1975,fact
1975,So
1975,très
1975,charmant
1975,dear
1975,Underneath
1975,moonlight
1975,Together
1975,sail
1975,Reminiscing
1975,night
1975,Meantime
1975,valentine
1975,daddy
1975,Valentino
1975,We
1975,ride
1975,omnibus
1975,casino
1975,Get
1975,facial
1975,start
1975,sensational
1975,adorable
1975,ooh-ooh
1975,give
1975,kiss4Embed
1975,The
1975,Prophet
1975,’
1975,Song
1975,Oh-oh
1975,","
1975,earth
1975,``
1975,Listen
1975,warning
1975,''
1975,seer
1975,Beware
1975,storm
1975,gathers
1975,wise
1975,!
1975,I
1975,dreamed
1975,moonlit
1975,stair
1975,Spreading
1975,hand
1975,multitude
1975,A
1975,cried
1975,love
1975,stale
1975,And
1975,ice
1975,cold
1975,hearts
1975,charity
1975,watched
1975,fear
1975,`
1975,gaze
1975,Hopes
1975,young
1975,troubled
1975,graves
1975,day
1975,heard
1975,So
1975,grey
1975,mortal
1975,prophet
1975,For
1975,night
1975,fall
1975,Summoned
1975,children
1975,land
1975,Quicken
1975,life
1975,Ooh
1975,fly
1975,find
1975,green
1975,bough
1975,Return
1975,white
1975,You
1975,He
1975,told
1975,death
1975,bone
1975,haze
1975,Taking
1975,lost
1975,unloved
1975,babe
1975,Late
1975,late
1975,wretches
1975,run
1975,These
1975,kings
1975,beasts
1975,counting
1975,days
1975,From
1975,mother
1975,estranged
1975,Married
1975,precious
1975,shake
1975,break
1975,dowry
1975,hear
1975,mark
1975,words
1975,plan
1975,Oh
1975,human
1975,zoo
1975,They
1975,running
1975,Running
1975,rain
1975,flee
1975,Who
1975,heed
1975,treasure
1975,make
1975,Deceive
1975,fires
1975,hell
1975,Should
1975,await
1975,?
1975,Ah
1975,People
1975,That
1975,Now
1975,In
1975,Death
1975,Around
1975,Whoa
1975,whoa
1975,listen
1975,La-la
1975,La-la-la-la-la-la
1975,Come
1975,madman
1975,God
1975,give
1975,grace
1975,purge
1975,place
1975,peace
1975,fortune
1975,Love
1975,answer
1975,vision
1975,fades
1975,voice
1975,dare
1975,Laugh
1975,15Embed
1975,TranslationsTürkçeEspañolРусскийLove
1975,My
1975,Life
1975,Love
1975,life
1975,","
1975,`
1975,hurt
1975,You
1975,broken
1975,heart
1975,And
1975,leave
1975,?
1975,Bring
1975,back
1975,bring
1975,Don
1975,away
1975,Because
1975,What
1975,means
1975,love
1975,desert
1975,remember
1975,blown
1975,When
1975,I
1975,grow
1975,older
1975,side
1975,To
1975,remind
1975,How
1975,Back
1975,hurry
1975,Please
1975,home
1975,Ooh
1975,ooh57Embed
1975,Good
1975,Company
1975,``
1975,Take
1975,`
1975,''
1975,My
1975,father
1975,As
1975,puffed
1975,pipe
1975,Baby
1975,B
1975,He
1975,dandled
1975,knee
1975,Don
1975,fool
1975,fools
1975,turn
1975,away
1975,Keep
1975,company
1975,Ooh-ooh
1975,","
1975,ooh-ooh
1975,call
1975,And
1975,Soon
1975,I
1975,grew
1975,happy
1975,friends
1975,We
1975,play
1975,day
1975,Sally
1975,J
1975,The
1975,girl
1975,number
1975,begged
1975,Won
1975,?
1975,Oh
1975,marry
1975,evermore
1975,You
1975,Now
1975,marriage
